start_pos_X,start_pos_Y,end_pos_X,end_pos_Y,start_frame,end_frame,from,to,type
1245.354952561088,832.216060659234,1512.042646745281,707.0151215235753,1.0,85.0,-1.0,1.0,Success
1512.042646745281,707.0151215235753,1496.7315486254342,729.3390359126367,85.0,92.0,1.0,-1.0,Success
1496.7315486254342,729.3390359126367,1403.8064080335585,891.5280069305862,92.0,122.0,-1.0,20.0,Success
1403.8064080335585,891.5280069305862,1353.05173714086,941.929869351699,122.0,183.0,20.0,-1.0,Success
1353.05173714086,941.929869351699,1314.5128229029424,1010.248106304591,183.0,196.0,-1.0,3.0,Success
1314.5128229029424,1010.248106304591,1308.7649580197574,1015.1243642377556,196.0,225.0,3.0,13.0,Success
1308.7649580197574,1015.1243642377556,1309.5086400538437,1015.3671424482844,225.0,226.0,13.0,3.0,Success
1309.5086400538437,1015.3671424482844,1307.1112865315988,1010.515792171586,226.0,234.0,3.0,13.0,Success
1307.1112865315988,1010.515792171586,1308.3030643312168,992.6706110120024,234.0,238.0,13.0,-1.0,Success
1308.3030643312168,992.6706110120024,1326.3111478081626,952.5637250644552,238.0,248.0,-1.0,19.0,Success
1326.3111478081626,952.5637250644552,1347.5810655225034,939.0601099557113,248.0,267.0,19.0,-1.0,Success
1347.5810655225034,939.0601099557113,1348.3149976952775,936.5194205499322,267.0,268.0,-1.0,19.0,Success
1348.3149976952775,936.5194205499322,547.0198125148023,495.5275842426741,268.0,290.0,19.0,-1.0,Failed
547.0198125148023,495.5275842426741,1361.7585923050055,917.9073955795004,290.0,291.0,-1.0,11.0,Success
1361.7585923050055,917.9073955795004,1362.5926002424342,916.048771850979,291.0,292.0,11.0,19.0,Success
1362.5926002424342,916.048771850979,1415.0085432057294,874.6384864511882,292.0,298.0,19.0,11.0,Success
1415.0085432057294,874.6384864511882,672.3519440016196,501.8746670710246,298.0,301.0,11.0,-1.0,Success
672.3519440016196,501.8746670710246,1424.0639449335229,864.7619605311514,301.0,303.0,-1.0,11.0,Success
1424.0639449335229,864.7619605311514,1405.5504456010058,831.3228320552328,303.0,310.0,11.0,-1.0,Failed
1405.5504456010058,831.3228320552328,1329.8968219074384,758.2686052967592,310.0,315.0,-1.0,9.0,Success
1329.8968219074384,758.2686052967592,1566.0426902712345,550.8966094973729,315.0,316.0,9.0,-1.0,Failed
1566.0426902712345,550.8966094973729,1423.2734297176144,712.8392546490553,316.0,334.0,-1.0,7.0,Success
1423.2734297176144,712.8392546490553,1421.0701958129018,708.221045254263,334.0,335.0,7.0,-1.0,Success
1421.0701958129018,708.221045254263,1428.4639993981568,659.5283172760968,335.0,350.0,-1.0,26.0,Success
1428.4639993981568,659.5283172760968,1542.9090449265543,591.2524886056852,350.0,400.0,26.0,31.0,Success
1542.9090449265543,591.2524886056852,1543.8730591146757,593.1985684809665,400.0,401.0,31.0,-1.0,Success
1543.8730591146757,593.1985684809665,1545.6102456045203,595.3767546891162,401.0,403.0,-1.0,31.0,Success
1545.6102456045203,595.3767546891162,1550.906406879451,598.483738742953,403.0,405.0,31.0,-1.0,Success
1550.906406879451,598.483738742953,1570.7701084597732,611.8986683445247,405.0,410.0,-1.0,7.0,Success
1570.7701084597732,611.8986683445247,1762.7160130093052,641.7797861374187,410.0,412.0,7.0,-1.0,Success
1762.7160130093052,641.7797861374187,1593.1915668862182,605.768291200099,412.0,413.0,-1.0,7.0,Success
1593.1915668862182,605.768291200099,1769.4930858647724,678.2168486160297,413.0,416.0,7.0,-1.0,Success
1769.4930858647724,678.2168486160297,1692.2016510485528,539.3876941531166,416.0,1245.0,-1.0,75.0,Success
1692.2016510485528,539.3876941531166,1543.4450494359085,681.3624684434218,1245.0,1311.0,75.0,-1.0,Success
1543.4450494359085,681.3624684434218,1593.7545843332657,596.0630995073071,1311.0,1385.0,-1.0,108.0,Success
